"","name","call_ball","bc_ball","bc_ball_ratio","call_strike","bc_strike","bc_strike_ratio","total_call","bad_call","bad_call_ratio","bcr_i1","bcr_i2","bcr_i3","bcr_i4","bcr_i5","bcr_i6","bcr_i7","bcr_i8","bcr_i9","bcr_OT","bcr_z1","bcr_z2","bcr_z3","bcr_z4","bcr_z5","bcr_z6","bcr_z7","bcr_z8","bcr_z9","bcr_z11","bcr_z12","bcr_z13","bcr_z14","bcr_FF","bcr_SL","bcr_FT","bcr_CU","bcr_FC","bcr_SI","bcr_CH","bcr_FS","bcr_KC","bcr_EP","bcr_","bcr_KN"
"1","Joe West",1422,88,0.0618846694796062,704,128,0.181818181818182,2126,216,0.101599247412982,0.13302752293578,0.0786026200873362,0.0825242718446602,0.0968992248062016,0.130434782608696,0.102459016393443,0.102564102564103,0.127049180327869,0.0666666666666667,0.0491803278688525,0.303571428571429,0.174603174603175,0.347826086956522,0,0,0.0227272727272727,0.166666666666667,0.137254901960784,0.17,0.0561056105610561,0.104347826086957,0.112676056338028,0.0818815331010453,0.107482993197279,0.0909090909090909,0.131818181818182,0.103092783505155,0.0618556701030928,0.0979381443298969,0.1,0,0.122448979591837,NA,NA,NA
"2","Gerry Davis",1488,108,0.0725806451612903,702,123,0.175213675213675,2190,231,0.105479452054795,0.113879003558719,0.111607142857143,0.129032258064516,0.0714285714285714,0.0977777777777778,0.0947368421052632,0.0922330097087379,0.118773946360153,0.153005464480874,0.0333333333333333,0.194029850746269,0.109090909090909,0.271186440677966,0.0694444444444444,0,0.043956043956044,0.186046511627907,0.229166666666667,0.295454545454545,0.0759162303664921,0.0579710144927536,0.105978260869565,0.0817610062893082,0.122559652928416,0.0783783783783784,0.105769230769231,0.101321585903084,0.0980392156862745,0.116666666666667,0.078125,0,0.133333333333333,NA,0.333333333333333,0.105263157894737
"3","Gary Cederstrom",1486,79,0.0531628532974428,728,132,0.181318681318681,2214,211,0.0953026196928636,0.0843373493975904,0.092511013215859,0.0966542750929368,0.111524163568773,0.0936329588014981,0.130252100840336,0.094017094017094,0.0756972111553785,0.076530612244898,0.0714285714285714,0.157894736842105,0.222222222222222,0.272727272727273,0.037037037037037,0,0,0.115384615384615,0.166666666666667,0.170940170940171,0.0621301775147929,0.0728744939271255,0.114973262032086,0.0862068965517241,0.106043329532497,0.069164265129683,0.101190476190476,0.0867924528301887,0.113333333333333,0.137142857142857,0.0582010582010582,0.0740740740740741,0,NA,NA,NA
"4","Brian Gorman",885,46,0.0519774011299435,424,82,0.193396226415094,1309,128,0.0977845683728037,0.118343195266272,0.0619469026548673,0.121621621621622,0.0952380952380952,0.121794871794872,0.0564516129032258,0.062015503875969,0.112781954887218,0.0840336134453782,0.0869565217391304,0.176470588235294,0.05,0.233333333333333,0.0181818181818182,0,0.0512820512820513,0.185185185185185,0.0701754385964912,0.238095238095238,0.0956175298804781,0.0814814814814815,0.121457489878543,0.0590277777777778,0.111295681063123,0.0773809523809524,0.0776699029126214,0.087719298245614,0.0684931506849315,0.112903225806452,0.0916030534351145,0.0769230769230769,0.107142857142857,0.5,NA,NA
"5","Bill Miller",1221,44,0.036036036036036,675,116,0.171851851851852,1896,160,0.0843881856540084,0.0714285714285714,0.0639269406392694,0.0909090909090909,0.1,0.101449275362319,0.107476635514019,0.0818181818181818,0.066079295154185,0.0782122905027933,NA,0.0476190476190476,0.0576923076923077,0.13953488372093,0,0,0.0735294117647059,0.0675675675675676,0.0909090909090909,0.16304347826087,0.0570469798657718,0.104477611940299,0.1484375,0.0743494423791822,0.0965909090909091,0.0647668393782383,0.128048780487805,0.0393258426966292,0.142857142857143,0.0909090909090909,0.0758620689655172,0.0434782608695652,0,NA,NA,NA
"6","Sam Holbrook",1271,72,0.0566483084185681,602,111,0.184385382059801,1873,183,0.0977042178323545,0.12280701754386,0.10126582278481,0.096234309623431,0.110552763819095,0.0778443113772455,0.112068965517241,0.0656565656565657,0.100418410041841,0.0746268656716418,NA,0.262295081967213,0.175,0.173913043478261,0,0,0.0428571428571429,0.175438596491228,0.121621621621622,0.223529411764706,0.0978260869565217,0.0694444444444444,0.0950920245398773,0.0772357723577236,0.110169491525424,0.0829875518672199,0.075,0.0884955752212389,0.125,0.0769230769230769,0.088785046728972,0.25,0.0714285714285714,0,0,NA
"7","Ted Barrett",1109,58,0.0522993688007214,614,137,0.223127035830619,1723,195,0.113174695298897,0.102040816326531,0.130044843049327,0.11214953271028,0.139303482587065,0.118421052631579,0.133757961783439,0.0880503144654088,0.0780487804878049,0.114285714285714,NA,0.205128205128205,0.0769230769230769,0.238095238095238,0.0161290322580645,0.0142857142857143,0.0350877192982456,0.128571428571429,0.148648648648649,0.158536585365854,0.118367346938776,0.0847457627118644,0.137931034482759,0.107655502392345,0.139372822299652,0.0891472868217054,0.105691056910569,0.0986547085201794,0.0882352941176471,0.12962962962963,0.0903614457831325,0.125,0,0,0.333333333333333,NA
"8","Mike Everitt",1372,75,0.05466472303207,714,115,0.161064425770308,2086,190,0.0910834132310642,0.0876288659793814,0.112299465240642,0.1,0.0897435897435897,0.0848214285714286,0.0973451327433628,0.0707964601769911,0.0606060606060606,0.115183246073298,0.0833333333333333,0.280701754385965,0.164179104477612,0.290322580645161,0.0757575757575758,0,0.0235294117647059,0.120481927710843,0.0895522388059701,0.0693069306930693,0.0344827586206897,0.0843881856540084,0.0917159763313609,0.0987202925045704,0.099273607748184,0.0754189944134078,0.118811881188119,0.0882352941176471,0.0561797752808989,0.0849673202614379,0.086734693877551,0.0967741935483871,0,NA,1,NA
"9","Tom Hallion",795,46,0.0578616352201258,383,73,0.190600522193211,1178,119,0.101018675721562,0.082089552238806,0.119402985074627,0.1,0.0833333333333333,0.0875,0.107438016528926,0.0932203389830508,0.108333333333333,0.147368421052632,NA,0.307692307692308,0.0588235294117647,0.291666666666667,0.0425531914893617,0,0.0681818181818182,0.147058823529412,0.0769230769230769,0.272727272727273,0.0769230769230769,0.112903225806452,0.149700598802395,0.0557275541795666,0.11264367816092,0.0943396226415094,0.11965811965812,0.0980392156862745,0.0212765957446809,0.0882352941176471,0.0808823529411765,0.2,0.181818181818182,NA,NA,NA
"10","Jerry Meals",1496,96,0.0641711229946524,778,133,0.170951156812339,2274,229,0.100703605980651,0.0947867298578199,0.0894308943089431,0.118320610687023,0.113725490196078,0.0969162995594714,0.0900900900900901,0.105263157894737,0.0823045267489712,0.11063829787234,0.2,0.376811594202899,0.130434782608696,0.418181818181818,0.0506329113924051,0,0.0119047619047619,0.119565217391304,0.0275229357798165,0.188034188034188,0.058641975308642,0.0614035087719298,0.107769423558897,0.0979381443298969,0.12200956937799,0.0766550522648084,0.0725388601036269,0.0863636363636364,0.0979020979020979,0.127586206896552,0.0616113744075829,0.0487804878048781,0.113207547169811,NA,NA,NA
"11","Dana DeMuth",1485,112,0.0754208754208754,608,85,0.139802631578947,2093,197,0.0941232680363115,0.112903225806452,0.0849056603773585,0.0936170212765957,0.087962962962963,0.08,0.105263157894737,0.0884615384615385,0.0987654320987654,0.0754716981132075,0.357142857142857,0.235294117647059,0.2,0.340425531914894,0.1125,0,0.0757575757575758,0.205128205128205,0.116279069767442,0.292452830188679,0.0512820512820513,0.0416666666666667,0.0830945558739255,0.0535055350553506,0.0873239436619718,0.0994764397905759,0.120331950207469,0.0909090909090909,0.0707070707070707,0.123762376237624,0.0531914893617021,0.0555555555555556,0.129032258064516,NA,0.5,NA
"12","Larry Vanover",1208,73,0.0604304635761589,577,71,0.123050259965338,1785,144,0.080672268907563,0.0769230769230769,0.0660377358490566,0.0509803921568627,0.0943396226415094,0.0717703349282297,0.147058823529412,0.0971428571428571,0.0635838150289017,0.0661157024793388,0,0.309090909090909,0.108695652173913,0.181818181818182,0.0428571428571429,0,0.0375,0.262295081967213,0.072289156626506,0.202702702702703,0.0688405797101449,0.0711297071129707,0.0839416058394161,0.0287769784172662,0.0761346998535871,0.0649350649350649,0.0942408376963351,0.0855263157894737,0.0581395348837209,0.122950819672131,0.0855614973262032,0,0.104166666666667,NA,NA,NA
"13","Fieldin Culbreth",1220,87,0.0713114754098361,589,100,0.169779286926995,1809,187,0.103372028745163,0.0963302752293578,0.142857142857143,0.113744075829384,0.0977011494252874,0.125,0.0691489361702128,0.120192307692308,0.0837209302325581,0.0842105263157895,0.0952380952380952,0.26530612244898,0.102040816326531,0.2,0.0754716981132075,0,0.104477611940299,0.123456790123457,0.180722891566265,0.266666666666667,0.0861423220973783,0.0769230769230769,0.121951219512195,0.0433734939759036,0.0936106983655275,0.120253164556962,0.114035087719298,0.0909090909090909,0.12396694214876,0.115384615384615,0.0742857142857143,0.0625,0.142857142857143,NA,NA,NA
